dialect,translation,(language/dialect)
nta akara,i am eating akara ,(generic Ibibio)
ikpong,cocoyam ,(generic Ibibio)
ye,and ,(generic Ibibio)
ye,with ,(generic Ibibio)
mme,and ,(generic Ibibio)
mme,with ,(generic Ibibio)
ekese,several ,(Efik-Ibibio)
ekese,others ,(Efik-Ibibio)
ufafran,fried ,(generic Ibibio)
mkpo,thing ,(generic Ibibio)
mkpo,noise ,(generic Ibibio)
nkpo,thing ,(generic Ibibio)
imino abasi ekom ke usen mfin,we thank god for today ,(generic Ibibio)
imi,we ,(generic Ibibio)
imino,we give ,(generic Ibibio)
abasi,god ,(generic Ibibio)
ekom,thanks ,(generic Ibibio)
ekom,greetings ,(generic Ibibio)
ekom,courtesy ,(generic Ibibio)
ke,for ,(generic Ibibio)
ke,at ,(generic Ibibio)
usen,day ,(generic Ibibio)
mfin,today ,(generic Ibibio)
adika uke utom amasuana,where will you go after work ,(generic Ibibio)
adika,are you leaving ,(generic Ibibio)
adika,are you going ,(generic Ibibio)
dika,be leaving ,(generic Ibibio)
dika,be going ,(generic Ibibio)
ka,go ,(generic Ibibio)
uke,where ,(generic Ibibio)
utom,work ,(generic Ibibio)
utom,job ,(generic Ibibio)
utom,service ,(generic Ibibio)
amasuana,when you dismiss ,(generic Ibibio)
amasuana,when you disperse ,(generic Ibibio)
ama,loved one ,(generic Ibibio)
ama,do you ,(generic Ibibio)
ama,you did ,(generic Ibibio)
oyom nnam nso nno fi,what should i do for you ,(Efik-Ibibio)
oyom nam so no fi,what should i do for you ,(Efik-Ibibio)
oyom,you wish ,(Efik-Ibibio)
nam,do ,(generic Ibibio)
nam,act ,(generic Ibibio)
nnam,do i ,(generic Ibibio)
nnam,plague ,(generic Ibibio)
di bo unen dep ke nam happy hour ye owo mfo,come buy chicken for happy hour with your mate ,(generic Ibibio)
di,come ,(generic Ibibio)
bo,take ,(generic Ibibio)
unen,fowl ,(generic Ibibio)
unen,chicken ,(generic Ibibio)
dep,buy ,(generic Ibibio)
dep,purchase ,(generic Ibibio)
owo,human ,(generic Ibibio)
owo,person ,(generic Ibibio)
mfo,yours ,(generic Ibibio)
amekeme ikpe okuk etem peppersoup uno utuondo,you can hire a peppersoup vendor rather ,(generic Ibibio)
amekeme,you can ,(generic Ibibio)
amekeme,you are able ,(generic Ibibio)
ikpe,litigate ,(generic Ibibio)
kpe,pay ,(generic Ibibio)
okuk,money ,(generic Ibibio)
etem,condiment ,(generic Ibibio)
uno,for you ,(generic Ibibio)
utuondo,rather ,(generic Ibibio)
utuondo,alternatively ,(generic Ibibio)
utuondo,otherwise ,(generic Ibibio)
ke mia udobot ufia,go slap a policeman ,(generic Ibibio)
mbom atata mbom,woeful real woeful ,(generic Ibibio)
mbom,mercy ,(generic Ibibio)
mbom,pity ,(generic Ibibio)
uduk,pity ,(generic Ibibio)
uduk,sympathy ,(generic Ibibio)
atata,real deep ,(generic Ibibio)
ata,real ,(generic Ibibio)
mia,beat ,(generic Ibibio)
udobot,police ,(generic Ibibio)
ufia,slap ,(generic Ibibio)
ufia,fourth or fifth son ,(generic Ibibio)
nyom ono mien okuk,i wish you give me money ,(generic Ibibio)
nyom,i want ,(generic Ibibio)
usung,door,(generic Ibibio)
usung,road,(generic Ibibio)
usung,way,(generic Ibibio)
usung,fufu,(generic Ibibio)
usung,thick,(generic Ibibio)
obong,lord,(generic Ibibio)
obong,ruler,(generic Ibibio)
obong,king,(generic Ibibio)
obong,chief,(generic Ibibio)
obong,shout,(generic Ibibio)
obong,mosquito,(generic Ibibio)
obong,cane,(generic Ibibio)
mme,or,(generic Ibibio)
ekong,war,(generic Ibibio)
ekong,hangers on,(generic Ibibio)
ekong,knockers,(generic Ibibio)
ekong,knackers,(generic Ibibio)
tim,beat ,(generic Ibibio)
tim,pound,(generic Ibibio)
tim,keep well,(generic Ibibio)
kang,deny,(generic Ibibio)
kang,dry-heating,(generic Ibibio)
ukot,in-law,(generic Ibibio)
ukot,leg,(generic Ibibio)
demme,wake,(generic Ibibio)
deme,share,(generic Ibibio)
deme,ignore,(generic Ibibio)
deme,overlook,(generic Ibibio)
akpan,first son,(generic Ibibio)
akpan,loaded basket,(generic Ibibio)
ekpat,bag,(generic Ibibio)
ekpat,log,(generic Ibibio)
iyire,net,(generic Ibibio)
ukem,same,(generic Ibibio)
ukem,you are contented,(generic Ibibio)
okwok,bee,(generic Ibibio)
okwok,grater,(generic Ibibio)
okwok,sweeper,(generic Ibibio)
okok,chewing stick,(generic Ibibio)
okok,toothpick,(generic Ibibio)
okok,grinding,(generic Ibibio)
okok,vomiting,(generic Ibibio)
ofiong,moon,(generic Ibibio)
ofiong,month,(generic Ibibio)
ado,is,(generic Ibibio)
okpo,bone,(generic Ibibio)
okpo,rubber,(generic Ibibio)
okpo,plastic,(generic Ibibio)
abang,pot,(generic Ibibio)
abat,it is dirty,(generic Ibibio)
abat,counter,(generic Ibibio)
abat,thickened,(generic Ibibio)
ata,chew,(generic Ibibio)
ata,bet,(generic Ibibio)
ata,burn,(generic Ibibio)
ata,pro,(generic Ibibio)
ekpeme,guard,(generic Ibibio)
ekpeme,bottle,(generic Ibibio)
ekpe,lion,(generic Ibibio)
ekpe,they pay,(generic Ibibio)
ekwak,they clap,(generic Ibibio)
isin,waist,(generic Ibibio)
isin,we reject,(generic Ibibio)
isin,we put,(generic Ibibio)
ikwo,song,(generic Ibibio)
ikwo ikwo,let us sing,(generic Ibibio)
ikwo,songs,(generic Ibibio)
